Soil_Type,Crop_Type,Soil_pH,Nitrogen,Phosphorus,Potassium,Moisture_Level,Rainfall,Temperature,Recommended_Fertilizer
Chalky,Maize,7.5,112,26,57,22.7,107,31.8,10-26-26
Clay,Sugarcane,6.2,95,33,64,13.1,175,27.6,NPK
Loamy,Sugarcane,8.3,110,25,76,29.8,230,27.8,10-26-26
Loamy,Sugarcane,7.1,99,50,40,33.3,104,25.3,NPK
Silty,Sugarcane,5.8,106,22,75,34.4,92,32.7,10-26-26
Loamy,Wheat,5.8,101,54,78,21.6,234,25.1,Urea
Sandy,Rice,5.1,110,44,68,33.9,119,24.9,Compost
Peaty,Sugarcane,8.0,101,31,62,14.7,150,27.3,NPK
Loamy,Maize,4.6,46,26,62,29.1,115,27.9,10-26-26
Sandy,Barley,7.0,101,30,30,11.3,93,21.6,10-26-26
Sandy,Sugarcane,4.8,67,59,48,17.2,217,28.7,Compost
Sandy,Barley,6.8,69,28,72,25.3,119,27.3,10-26-26
Clay,Maize,5.6,51,37,47,16.1,204,20.3,10-26-26
Loamy,Barley,7.9,67,28,77,25.4,214,21.2,10-26-26
Chalky,Rice,5.2,48,46,53,31.8,227,30.6,10-26-26
Peaty,Barley,7.1,65,20,73,20.2,112,22.5,10-26-26
Chalky,Barley,8.4,41,28,32,29.9,242,23.1,10-26-26
Sandy,Rice,7.9,75,29,44,29.0,113,23.1,10-26-26
Sandy,Barley,6.2,96,51,52,14.6,112,19.9,Urea
Chalky,Rice,7.4,71,43,75,16.7,129,31.9,Urea
Sandy,Sugarcane,8.5,51,46,51,11.9,92,26.0,10-26-26
Silty,Maize,7.7,90,32,30,29.7,94,30.9,10-26-26
Loamy,Barley,5.9,116,34,58,21.3,196,28.1,Urea
Silty,Maize,8.4,90,57,36,18.2,236,33.7,10-26-26
Peaty,Wheat,5.6,56,24,73,34.7,85,29.4,10-26-26
Chalky,Wheat,6.4,116,25,56,25.3,98,22.6,10-26-26
Silty,Maize,5.6,88,58,32,12.8,120,19.9,10-26-26
Peaty,Barley,5.9,107,33,37,29.1,87,28.3,10-26-26
Loamy,Wheat,4.9,109,37,34,31.3,238,28.2,10-26-26
Silty,Cotton,8.3,60,29,66,26.8,100,21.0,10-26-26
Sandy,Rice,6.4,93,51,30,26.2,208,18.5,10-26-26
Clay,Maize,4.6,91,55,53,13.2,186,22.3,Compost
Silty,Cotton,6.2,45,44,44,22.2,180,20.3,10-26-26
Sandy,Rice,7.2,113,52,55,24.9,172,23.0,NPK
Loamy,Rice,4.6,78,57,48,11.9,145,24.7,Compost
Loamy,Barley,5.1,44,48,57,19.4,180,28.7,10-26-26
Sandy,Barley,6.7,79,58,79,15.8,128,23.8,Urea
Chalky,Wheat,7.0,112,46,52,31.5,82,30.8,Urea
Loamy,Barley,6.7,117,44,40,19.1,196,24.2,Urea
Sandy,Wheat,8.0,61,44,38,11.0,191,34.8,10-26-26
Clay,Rice,7.2,77,29,46,27.0,135,18.6,10-26-26
Silty,Barley,6.9,57,41,71,22.1,222,19.8,10-26-26
Chalky,Maize,5.6,74,29,36,32.3,211,27.3,10-26-26
Peaty,Barley,6.2,45,54,77,11.8,206,30.1,10-26-26
Peaty,Barley,7.3,119,26,77,25.4,239,26.7,10-26-26
Silty,Wheat,6.2,70,39,75,24.8,101,22.0,NPK
Peaty,Sugarcane,8.3,88,36,44,24.7,131,23.3,NPK
Peaty,Maize,6.3,70,28,76,30.1,152,20.7,10-26-26
Silty,Wheat,5.7,86,23,53,27.0,216,23.4,10-26-26
Sandy,Wheat,7.7,71,36,42,13.3,88,31.0,Urea
Chalky,Wheat,4.8,49,25,75,10.3,173,33.3,10-26-26
Chalky,Sugarcane,6.8,103,45,31,18.8,175,22.0,10-26-26
Chalky,Maize,7.0,87,49,79,22.7,179,34.9,DAP
Chalky,Sugarcane,8.4,74,51,51,25.9,196,25.5,Compost
Peaty,Barley,6.5,74,60,51,27.1,131,19.7,Urea
Loamy,Wheat,5.8,95,43,66,11.9,200,19.2,Urea
Loamy,Cotton,5.3,89,58,79,22.1,208,31.3,Compost
Silty,Soybean,6.4,48,47,43,18.4,151,19.4,10-26-26
Sandy,Rice,6.7,62,41,48,16.8,174,28.5,Urea
Peaty,Barley,8.4,41,56,51,12.8,238,21.6,10-26-26
Loamy,Sugarcane,6.4,51,41,41,34.2,182,31.1,10-26-26
Peaty,Wheat,8.1,81,43,66,18.3,177,34.9,Urea
Silty,Maize,4.9,97,31,37,11.3,141,32.5,10-26-26
Clay,Cotton,8.2,75,28,45,12.3,174,19.9,10-26-26
Chalky,Sugarcane,4.6,55,37,41,12.6,178,21.6,10-26-26
Clay,Soybean,8.4,76,23,72,26.7,147,31.2,10-26-26
Chalky,Sugarcane,7.6,114,32,45,23.4,120,31.6,NPK
Silty,Soybean,6.9,54,39,79,17.9,161,27.5,10-26-26
Loamy,Wheat,6.6,47,48,66,30.6,185,34.7,10-26-26
Sandy,Barley,6.1,98,34,36,29.1,84,19.7,10-26-26
Clay,Sugarcane,7.6,55,51,63,19.3,171,18.7,10-26-26
Sandy,Wheat,6.0,55,25,53,25.3,220,20.0,10-26-26
Silty,Rice,8.2,111,37,50,11.9,120,33.8,NPK
Sandy,Maize,7.3,75,31,57,18.2,209,24.6,Compost
Loamy,Maize,7.5,103,23,37,25.0,207,29.4,10-26-26
Sandy,Barley,6.1,60,21,74,22.2,215,34.8,10-26-26
Silty,Soybean,5.4,83,29,44,20.4,193,23.0,10-26-26
Silty,Cotton,7.6,56,56,57,29.1,182,23.0,10-26-26
Chalky,Maize,4.8,92,32,42,10.3,199,25.3,Compost
Clay,Rice,6.1,75,23,71,34.7,91,26.0,10-26-26
Chalky,Barley,5.5,85,29,58,32.3,217,26.3,10-26-26
Clay,Rice,6.9,87,40,71,12.4,212,24.5,NPK
Chalky,Rice,8.3,44,21,39,24.7,203,23.9,10-26-26
Chalky,Wheat,7.0,56,24,49,32.8,127,22.7,10-26-26
Loamy,Cotton,6.5,64,27,57,34.0,86,20.9,10-26-26
Peaty,Maize,7.4,69,56,74,25.4,111,29.6,DAP
Sandy,Soybean,5.9,90,53,70,17.8,102,29.6,Compost
Sandy,Rice,5.4,65,27,42,20.5,176,21.2,10-26-26
Peaty,Maize,4.5,84,29,63,34.3,180,25.3,10-26-26
Sandy,Barley,8.4,43,58,71,13.5,127,28.0,10-26-26
Peaty,Barley,5.3,120,51,80,29.8,143,31.3,Compost
Loamy,Wheat,5.0,87,59,52,32.8,248,21.3,Compost
Chalky,Wheat,7.0,70,29,40,34.6,118,33.0,10-26-26
Chalky,Barley,8.3,96,34,74,18.6,237,19.8,Urea
Sandy,Sugarcane,5.3,117,58,41,22.5,80,31.5,Compost
Loamy,Maize,5.1,100,34,80,26.5,170,23.5,Compost
Sandy,Wheat,5.9,69,47,57,26.5,102,25.9,Vermicompost
Loamy,Rice,7.7,100,45,35,13.9,92,31.4,10-26-26
Peaty,Cotton,4.8,45,52,41,14.9,179,29.2,10-26-26
Peaty,Cotton,7.9,55,52,40,16.3,131,23.6,10-26-26
Silty,Rice,6.6,52,20,61,15.3,111,31.8,10-26-26
Sandy,Cotton,7.6,52,42,71,13.6,221,25.9,10-26-26
Sandy,Sugarcane,7.6,111,60,41,18.4,102,28.8,NPK
Silty,Barley,4.7,120,47,75,25.2,147,20.6,Compost
Peaty,Soybean,7.8,73,45,60,18.9,131,22.8,10-26-26
Silty,Soybean,7.9,73,28,39,11.3,133,24.7,10-26-26
Sandy,Barley,6.0,59,29,40,17.1,210,33.5,10-26-26
Clay,Barley,7.5,53,58,48,11.6,144,30.1,10-26-26
Sandy,Maize,6.6,111,56,39,32.5,250,23.3,10-26-26
Chalky,Barley,6.8,63,31,76,22.5,170,26.3,Compost
Clay,Cotton,6.3,63,59,51,15.1,134,30.8,DAP
Loamy,Barley,6.3,46,44,45,34.0,242,22.4,10-26-26
Chalky,Cotton,7.2,71,24,71,33.5,109,29.3,10-26-26
Peaty,Rice,8.0,74,45,73,30.7,205,24.1,10-26-26
Clay,Soybean,6.9,70,20,61,13.9,160,27.1,10-26-26
Sandy,Soybean,5.4,111,39,79,28.6,111,27.0,Compost
Chalky,Sugarcane,6.1,81,29,30,16.7,248,35.0,10-26-26
Clay,Wheat,4.8,89,31,55,11.1,249,21.7,Compost
Clay,Sugarcane,8.4,76,45,44,34.5,226,29.1,NPK
Silty,Barley,8.0,86,44,34,15.3,160,34.5,10-26-26
Chalky,Maize,5.1,100,22,53,12.5,161,19.9,10-26-26
Loamy,Sugarcane,6.8,49,31,70,29.5,248,24.2,10-26-26
Clay,Maize,8.4,51,47,76,20.9,148,20.6,10-26-26
Clay,Rice,6.4,112,41,51,27.0,189,32.1,NPK
Loamy,Rice,6.3,112,25,66,24.8,176,22.5,10-26-26
Peaty,Wheat,7.1,115,40,58,34.6,220,18.8,Urea
Silty,Maize,8.0,63,23,60,24.1,80,22.3,10-26-26
Sandy,Rice,8.3,72,30,57,22.1,120,23.6,NPK
Clay,Rice,5.2,119,51,36,16.1,114,32.2,10-26-26
Chalky,Barley,7.0,51,29,49,32.8,98,21.9,10-26-26
Sandy,Sugarcane,5.0,71,47,69,10.2,183,26.6,Compost
Silty,Sugarcane,8.5,112,49,55,27.4,89,23.2,NPK
Peaty,Sugarcane,8.0,100,33,34,29.5,122,18.3,10-26-26
Silty,Cotton,7.8,101,34,35,17.5,234,20.5,10-26-26
Sandy,Wheat,5.4,96,44,73,21.7,87,25.2,Compost
Silty,Maize,5.7,113,53,64,14.3,239,31.0,DAP
Silty,Barley,8.5,109,46,52,29.4,140,23.0,Urea
Chalky,Wheat,5.5,120,56,74,15.4,159,20.3,Urea
Sandy,Rice,6.7,117,25,70,25.1,177,30.0,10-26-26
Loamy,Maize,7.2,64,21,62,17.3,228,23.6,10-26-26
Chalky,Maize,7.2,63,34,37,18.7,117,21.6,10-26-26
Clay,Wheat,6.0,55,57,34,16.8,170,19.5,10-26-26
Clay,Soybean,7.8,84,51,54,31.3,149,21.7,10-26-26
Peaty,Barley,4.8,98,38,60,28.5,81,21.6,Compost
Chalky,Rice,6.1,40,28,56,11.6,223,21.8,10-26-26
Silty,Cotton,7.7,79,39,64,30.1,250,21.5,Compost
Silty,Cotton,5.8,78,56,58,13.4,231,19.3,DAP
Silty,Maize,8.5,51,46,42,26.4,178,27.2,10-26-26
Loamy,Cotton,7.6,44,36,51,31.0,88,31.7,10-26-26
Clay,Cotton,4.6,71,42,50,14.7,136,29.1,Compost
Silty,Wheat,6.0,44,57,77,34.6,178,29.3,10-26-26
Loamy,Sugarcane,8.3,94,59,41,15.0,198,32.7,NPK
Silty,Rice,5.8,54,60,66,34.7,246,20.7,10-26-26
Loamy,Wheat,6.6,112,44,44,29.8,162,25.4,Urea
Sandy,Rice,6.4,87,57,59,34.7,82,25.2,NPK
Sandy,Maize,6.9,84,27,40,11.4,215,32.3,10-26-26
Sandy,Cotton,7.1,92,33,57,20.1,156,18.3,DAP
Clay,Soybean,6.9,80,59,48,10.3,214,18.0,Vermicompost
Peaty,Soybean,7.0,112,41,69,14.7,180,21.3,10-26-26
Loamy,Cotton,7.1,95,35,49,11.3,164,23.3,10-26-26
Loamy,Barley,5.1,68,39,75,24.5,145,29.3,Compost
Clay,Soybean,7.4,79,59,37,16.4,181,19.5,10-26-26
Peaty,Sugarcane,4.8,115,35,78,20.7,235,34.1,Compost
Sandy,Soybean,5.4,73,37,67,16.4,195,19.7,Compost
Loamy,Wheat,6.9,113,37,56,27.0,147,28.9,Urea
Clay,Sugarcane,7.9,111,30,39,22.2,137,20.3,10-26-26
Clay,Sugarcane,5.7,82,52,56,26.6,112,28.4,NPK
Peaty,Barley,6.6,101,33,66,27.1,216,28.8,Urea
Chalky,Soybean,8.0,106,57,47,24.7,105,31.2,DAP
Sandy,Rice,5.5,41,56,58,27.0,113,33.3,10-26-26
Clay,Barley,6.0,62,27,60,29.5,91,30.3,10-26-26
Silty,Maize,4.7,78,53,52,24.5,129,20.2,Compost
Loamy,Barley,8.4,92,43,51,30.3,200,19.9,Urea
Peaty,Wheat,5.0,56,22,45,24.9,82,23.9,10-26-26
Clay,Maize,4.6,75,56,57,23.5,157,24.6,Compost
Silty,Rice,4.9,58,59,44,30.0,225,33.6,10-26-26
Clay,Soybean,7.5,43,29,77,30.6,171,21.7,10-26-26
Clay,Wheat,5.6,54,33,76,15.2,198,31.0,10-26-26
Loamy,Soybean,8.3,90,42,63,27.9,232,33.0,Compost
Sandy,Maize,7.1,114,41,70,19.7,200,25.2,DAP
Clay,Sugarcane,4.8,95,25,66,10.8,236,29.8,10-26-26
Sandy,Rice,6.3,73,43,65,23.8,156,27.5,DAP
Loamy,Barley,5.6,81,45,54,21.9,136,26.0,Urea
Clay,Rice,6.1,68,54,65,30.5,174,25.7,Urea
Sandy,Maize,6.9,63,32,56,32.4,120,32.7,NPK
Chalky,Wheat,8.1,44,35,42,16.8,159,18.6,10-26-26
Silty,Maize,5.5,63,36,56,17.0,133,33.5,NPK
Clay,Rice,7.1,78,34,72,12.0,195,20.3,NPK
Peaty,Cotton,5.1,104,45,80,25.8,218,30.5,Compost
Clay,Rice,7.9,110,40,75,33.5,116,21.4,NPK
Peaty,Soybean,5.7,75,44,78,16.0,229,24.1,Urea
Sandy,Soybean,8.2,51,51,58,24.4,153,30.5,10-26-26
Clay,Cotton,6.5,73,32,32,10.7,157,19.1,10-26-26
Sandy,Soybean,6.7,80,23,39,28.0,138,21.7,10-26-26
Peaty,Soybean,7.4,86,23,40,30.3,121,25.0,10-26-26
Peaty,Sugarcane,7.5,75,47,55,20.1,166,29.5,DAP
Silty,Soybean,7.6,83,30,42,34.8,131,23.9,DAP
Peaty,Wheat,6.1,119,34,30,14.1,114,21.5,10-26-26
Clay,Wheat,7.3,82,45,66,32.9,107,24.7,Urea
Sandy,Wheat,5.2,41,34,31,17.1,136,25.7,10-26-26
Sandy,Maize,5.7,92,49,58,15.8,97,30.5,DAP
Chalky,Barley,4.5,55,47,80,23.5,196,31.5,10-26-26
Loamy,Soybean,5.6,41,48,57,25.1,116,29.4,10-26-26
Silty,Sugarcane,7.1,118,42,78,21.1,160,23.9,NPK
Sandy,Barley,7.8,47,31,47,29.0,244,23.5,10-26-26
Loamy,Wheat,4.9,47,25,41,11.8,139,19.6,10-26-26
Chalky,Sugarcane,6.8,111,36,61,11.3,123,23.7,NPK
Sandy,Rice,7.5,67,37,75,17.4,113,31.0,Urea
Sandy,Sugarcane,7.5,77,49,34,16.1,228,30.4,10-26-26
Chalky,Soybean,7.5,42,25,59,19.9,121,21.6,10-26-26
Sandy,Barley,6.6,56,38,33,33.0,175,28.9,10-26-26
Clay,Cotton,5.2,92,36,72,27.1,219,25.3,Compost
Silty,Barley,6.9,53,50,71,28.4,242,26.8,10-26-26
Chalky,Cotton,7.8,81,36,56,28.1,107,28.5,Vermicompost
Peaty,Soybean,5.1,63,36,33,30.9,178,33.9,10-26-26
Loamy,Barley,5.0,109,34,64,22.2,192,22.4,Compost
Sandy,Soybean,7.5,100,60,39,28.0,166,20.4,10-26-26
Peaty,Soybean,8.0,48,31,39,14.5,161,31.6,10-26-26
Peaty,Rice,6.3,114,41,54,18.2,180,20.7,NPK
Peaty,Maize,5.2,72,52,76,26.5,117,27.4,Compost
Sandy,Cotton,5.0,71,60,42,12.8,195,19.2,Compost
Peaty,Soybean,7.5,49,31,36,27.8,113,19.0,10-26-26
Clay,Rice,6.7,46,27,63,12.1,197,33.4,10-26-26
Peaty,Rice,8.1,70,42,74,27.5,221,33.7,Compost
Chalky,Sugarcane,7.7,46,24,59,30.7,92,27.7,10-26-26
Silty,Maize,5.7,44,60,44,15.4,233,23.6,10-26-26
Sandy,Maize,7.0,53,57,69,14.3,238,22.4,10-26-26
Loamy,Barley,6.4,85,31,68,15.8,161,28.0,Urea
Chalky,Soybean,8.2,54,51,36,28.7,124,29.3,10-26-26
Sandy,Wheat,6.8,103,44,77,22.2,145,21.2,Urea
Sandy,Wheat,8.1,111,49,41,16.2,121,19.6,Urea
Clay,Maize,7.5,77,29,39,14.4,108,24.3,10-26-26
Silty,Wheat,4.6,88,40,73,13.4,146,20.9,Compost
Peaty,Barley,4.7,88,32,42,26.4,80,32.2,Compost
Chalky,Sugarcane,6.0,65,32,48,31.9,155,21.6,10-26-26
Silty,Soybean,5.8,42,39,62,13.8,212,28.5,10-26-26
Silty,Sugarcane,6.2,116,57,51,25.3,83,30.9,NPK
Loamy,Cotton,6.7,42,30,30,25.7,175,33.9,10-26-26
Peaty,Barley,5.7,88,52,73,19.0,169,30.2,Urea
Clay,Sugarcane,6.9,80,32,80,14.5,194,24.4,Compost
Loamy,Sugarcane,6.4,63,45,57,20.5,242,21.0,NPK
Sandy,Wheat,8.2,116,40,56,29.1,139,26.2,Urea
Loamy,Wheat,7.2,97,51,60,32.4,161,20.3,Urea
Sandy,Wheat,5.5,85,56,39,23.6,84,31.6,10-26-26
Silty,Rice,4.6,91,42,64,34.6,101,25.7,Compost
Sandy,Soybean,5.9,117,28,31,17.3,247,21.0,10-26-26
Loamy,Sugarcane,7.7,60,29,67,33.9,153,25.0,10-26-26
Clay,Rice,8.3,81,46,43,30.6,90,26.2,NPK
Sandy,Sugarcane,7.2,80,40,78,20.9,250,27.5,NPK
Peaty,Cotton,4.7,69,47,45,27.4,198,18.9,Compost
Chalky,Barley,7.8,59,46,41,30.6,239,22.0,10-26-26
Chalky,Maize,5.8,63,22,57,22.0,176,28.1,10-26-26
Clay,Maize,5.6,73,59,62,24.8,86,23.1,DAP
Chalky,Barley,4.7,110,41,36,10.1,129,19.7,10-26-26
Sandy,Barley,7.7,53,34,71,34.0,217,25.3,10-26-26
Clay,Rice,6.6,74,56,64,13.7,137,27.4,NPK
Sandy,Rice,5.1,50,31,39,25.3,104,33.9,10-26-26
Sandy,Soybean,5.3,49,43,77,29.1,155,18.4,10-26-26
Peaty,Barley,6.0,54,43,64,12.8,119,24.0,10-26-26
Silty,Sugarcane,5.2,93,54,61,19.3,182,25.1,Compost
Loamy,Rice,5.7,53,57,37,26.4,215,33.6,10-26-26
Loamy,Maize,6.1,111,54,33,14.8,179,22.6,10-26-26
Loamy,Maize,7.9,57,20,32,24.3,179,25.7,10-26-26
Sandy,Sugarcane,5.1,104,51,58,21.2,243,22.7,Compost
Peaty,Cotton,8.3,71,40,63,32.1,163,19.4,NPK
Silty,Barley,6.6,91,38,55,15.6,159,25.0,Urea
Chalky,Rice,8.0,116,47,76,23.2,113,23.7,NPK
Sandy,Maize,5.3,63,27,69,30.0,116,28.6,10-26-26
Chalky,Cotton,6.4,58,31,34,15.4,129,23.7,10-26-26
Sandy,Rice,8.3,79,24,32,23.0,152,24.8,10-26-26
Sandy,Sugarcane,6.6,72,54,43,29.5,108,23.8,10-26-26
Chalky,Cotton,5.2,105,56,79,24.6,108,29.3,Compost
Clay,Cotton,7.4,118,48,39,32.0,184,24.3,10-26-26
Peaty,Sugarcane,4.8,116,59,47,34.0,227,25.4,Compost
Chalky,Sugarcane,7.0,52,30,62,26.7,130,27.3,10-26-26
Clay,Barley,5.3,110,21,33,28.9,136,31.7,10-26-26
Silty,Cotton,6.7,92,21,77,22.2,123,19.9,10-26-26
Chalky,Rice,4.8,47,20,52,18.5,130,23.3,10-26-26
Chalky,Wheat,8.3,109,41,42,29.6,219,29.2,Urea
Silty,Wheat,6.6,52,20,50,14.2,241,34.6,10-26-26
Clay,Maize,6.0,62,37,45,12.7,215,26.4,DAP
Peaty,Barley,8.0,40,42,65,32.2,121,18.2,10-26-26
Silty,Soybean,8.0,118,30,72,16.8,224,18.7,Vermicompost
Clay,Rice,7.9,97,45,64,31.6,190,28.1,NPK
Sandy,Soybean,6.8,98,47,45,30.3,138,31.4,DAP
Peaty,Wheat,8.1,104,59,54,23.8,132,34.5,Urea
Sandy,Soybean,8.5,101,46,77,12.9,101,32.4,Vermicompost
Loamy,Barley,6.5,54,60,64,19.7,183,28.4,10-26-26
Sandy,Cotton,4.7,98,26,45,22.7,191,32.8,10-26-26
Peaty,Maize,5.4,53,20,34,20.7,128,34.0,10-26-26
Sandy,Barley,6.2,104,30,42,19.0,137,25.5,Urea
Chalky,Sugarcane,6.6,59,26,73,25.8,218,31.6,10-26-26
Peaty,Barley,6.3,68,42,41,30.4,198,27.1,NPK
Peaty,Barley,5.9,48,53,60,26.4,163,30.2,10-26-26
Chalky,Soybean,6.7,42,45,60,11.4,206,20.9,10-26-26
Silty,Rice,5.6,45,47,78,17.1,241,29.4,10-26-26
Chalky,Maize,4.6,114,30,30,28.9,242,22.5,10-26-26
Peaty,Sugarcane,5.7,52,37,45,23.2,99,21.7,10-26-26
Peaty,Wheat,8.0,99,58,58,12.1,184,25.6,Urea
Clay,Cotton,7.9,104,27,52,25.4,231,23.0,10-26-26
Silty,Sugarcane,6.2,108,35,64,27.7,156,34.5,NPK
Loamy,Barley,8.1,103,31,77,18.6,84,35.0,Urea
Chalky,Soybean,4.5,59,45,54,10.7,174,32.0,10-26-26
Chalky,Soybean,5.3,91,54,54,11.5,123,22.0,Compost
Peaty,Soybean,6.2,85,56,36,28.3,115,28.6,10-26-26
Loamy,Cotton,5.5,66,39,69,22.6,209,33.7,Vermicompost
Peaty,Wheat,7.8,83,40,44,18.1,234,34.7,Urea
Loamy,Barley,7.3,95,60,70,11.6,82,18.6,Urea
Silty,Barley,5.2,78,28,67,28.2,235,21.1,10-26-26
Clay,Cotton,6.5,74,60,60,12.3,116,33.7,DAP
Peaty,Cotton,5.9,94,57,49,32.7,96,34.1,DAP
Silty,Sugarcane,4.5,119,45,61,21.6,85,18.4,Compost
Peaty,Rice,8.1,110,58,59,23.0,158,19.3,NPK
Chalky,Barley,4.9,103,36,65,19.6,170,34.0,Compost
Chalky,Sugarcane,7.3,113,38,55,31.7,150,24.2,NPK
Clay,Sugarcane,4.7,64,58,62,34.4,157,18.3,Compost
Clay,Cotton,8.3,99,35,48,19.2,197,18.2,Vermicompost
Chalky,Maize,7.3,66,45,76,34.5,228,34.4,DAP
Peaty,Soybean,5.1,108,26,54,14.5,154,27.6,10-26-26
Peaty,Sugarcane,7.0,43,36,48,28.5,160,21.1,10-26-26
Clay,Soybean,8.3,117,30,72,26.0,243,32.4,Vermicompost
Silty,Rice,6.7,81,30,37,20.4,88,34.6,10-26-26
Sandy,Cotton,6.8,57,49,32,31.7,181,34.2,10-26-26
Silty,Maize,7.2,110,58,33,23.7,84,18.1,10-26-26
Peaty,Wheat,4.7,74,54,46,15.0,171,21.2,Compost
Peaty,Rice,5.5,68,20,65,17.6,218,24.1,10-26-26
Peaty,Sugarcane,6.2,64,22,51,12.5,203,18.7,10-26-26
Loamy,Barley,7.2,109,55,45,23.4,238,25.6,Urea
Peaty,Barley,7.0,100,36,77,30.7,107,25.3,Urea
Peaty,Maize,7.1,93,35,30,33.8,118,32.3,10-26-26
Silty,Soybean,6.2,87,20,33,26.1,80,21.0,10-26-26
Sandy,Rice,6.7,84,44,78,34.5,183,26.8,NPK
Clay,Sugarcane,8.2,116,42,71,20.2,132,35.0,NPK
Clay,Maize,6.8,89,38,36,11.1,222,28.0,10-26-26
Loamy,Soybean,5.6,112,32,58,10.8,218,32.0,NPK
Loamy,Cotton,5.6,97,56,33,29.9,208,22.9,10-26-26
Silty,Barley,5.3,42,27,63,34.3,200,24.1,10-26-26
Sandy,Cotton,6.9,44,21,37,25.2,241,27.5,10-26-26
Sandy,Cotton,8.2,87,27,33,26.9,139,24.9,10-26-26
Loamy,Maize,7.9,78,36,38,14.5,233,27.3,10-26-26
Peaty,Rice,8.3,90,50,47,25.6,250,31.9,NPK
Loamy,Cotton,7.1,111,45,53,31.0,122,34.1,DAP
Loamy,Rice,5.6,88,29,80,14.2,112,26.2,10-26-26
Clay,Maize,7.3,84,59,68,15.7,191,18.1,DAP
Silty,Wheat,5.9,80,47,79,34.2,125,29.8,Urea
Sandy,Soybean,6.1,63,27,68,14.8,82,24.1,10-26-26
Loamy,Wheat,5.2,67,60,71,12.7,248,33.4,Compost
Loamy,Cotton,8.5,43,36,61,14.1,158,18.9,10-26-26
Silty,Cotton,5.8,78,54,48,21.5,163,21.5,DAP
Loamy,Sugarcane,5.7,68,58,57,15.0,163,31.2,DAP
Clay,Soybean,7.4,69,54,44,25.9,160,24.6,Urea
Silty,Soybean,8.1,50,28,48,34.2,165,21.0,10-26-26
Chalky,Maize,5.4,67,26,40,23.1,232,19.6,10-26-26
Clay,Rice,6.2,71,45,38,24.5,248,26.9,10-26-26
Sandy,Rice,5.8,48,50,45,23.6,243,34.3,10-26-26
Sandy,Barley,5.3,99,51,40,26.4,188,18.7,Compost
Loamy,Sugarcane,4.8,109,35,69,23.8,168,19.8,Compost
Peaty,Maize,4.6,81,55,50,14.3,123,27.6,Compost
Sandy,Sugarcane,7.3,79,30,73,15.1,168,29.4,DAP
Chalky,Soybean,5.2,80,26,55,25.3,109,25.0,10-26-26
Peaty,Maize,7.1,102,43,69,34.9,101,33.9,DAP
Silty,Rice,4.5,47,41,33,32.1,215,19.1,10-26-26
Chalky,Rice,8.3,86,39,68,17.0,103,24.5,NPK
Loamy,Cotton,4.9,98,39,47,12.8,200,30.4,Compost
Sandy,Soybean,8.3,86,60,43,25.3,171,30.2,DAP
Loamy,Cotton,7.5,107,38,37,16.6,198,18.8,10-26-26
Clay,Maize,4.5,114,39,74,18.8,226,22.1,Compost
Silty,Wheat,4.7,73,38,68,14.5,132,20.1,Compost
Clay,Maize,8.2,69,51,62,13.5,216,27.1,DAP
Clay,Wheat,6.9,64,27,63,23.6,135,19.7,10-26-26
Silty,Rice,5.8,48,32,45,11.3,244,24.7,10-26-26
Peaty,Sugarcane,5.3,63,47,32,24.0,211,29.8,10-26-26
Silty,Sugarcane,6.6,108,31,65,20.9,97,24.6,NPK
Loamy,Soybean,7.9,62,50,64,15.5,201,30.5,DAP
Clay,Maize,7.5,111,47,41,20.5,160,23.1,DAP
Chalky,Rice,6.4,80,31,37,12.3,193,18.8,10-26-26
Chalky,Maize,4.9,92,40,72,14.7,134,26.6,Compost
Loamy,Barley,7.9,68,50,80,15.9,211,33.9,Urea
Clay,Sugarcane,8.3,112,26,52,34.0,188,32.2,10-26-26
Chalky,Cotton,6.0,64,38,47,11.8,177,27.7,Compost
Clay,Barley,6.7,101,48,77,31.2,176,34.9,Urea
Sandy,Sugarcane,6.5,90,57,34,18.6,159,21.2,10-26-26
Sandy,Wheat,4.5,90,28,67,22.7,234,27.4,10-26-26
Peaty,Maize,7.8,88,60,80,22.6,190,33.6,DAP
Loamy,Maize,7.0,46,59,67,31.0,227,20.5,10-26-26
Peaty,Soybean,7.9,43,22,37,26.9,92,20.9,10-26-26
Peaty,Sugarcane,5.3,110,41,60,33.2,138,18.5,Compost
Peaty,Rice,6.4,108,34,73,17.8,167,29.3,NPK
Sandy,Rice,7.9,50,54,68,19.0,184,25.3,10-26-26
Chalky,Sugarcane,8.4,77,38,40,29.6,246,33.3,10-26-26
Silty,Maize,6.3,105,53,49,15.9,238,25.0,DAP
Chalky,Sugarcane,7.4,98,57,53,12.7,192,22.6,NPK
Sandy,Sugarcane,4.7,87,51,51,20.8,242,32.1,Compost
Chalky,Sugarcane,4.6,84,53,38,26.9,212,33.9,10-26-26
Chalky,Rice,5.4,115,23,41,27.3,116,34.6,10-26-26
Clay,Cotton,8.3,114,49,76,15.9,217,19.7,DAP
Peaty,Barley,5.1,120,24,38,27.6,156,30.3,10-26-26
Peaty,Sugarcane,7.2,64,60,68,18.4,195,20.9,Urea
Silty,Rice,6.8,82,57,63,22.1,156,30.4,NPK
Loamy,Maize,6.3,52,37,80,18.5,132,23.0,10-26-26
Silty,Cotton,5.3,60,53,55,16.6,213,19.6,Compost
Clay,Rice,5.9,63,33,70,10.9,87,21.2,DAP
